; Candidate free-space regions auto-detected by scanning for long runs of a
; single repeated byte value. This is a heuristic, not a guarantee -- review
; before trusting, and delete any line you're not sure is safe to overwrite.
; Format: 0xSTART,length,0xFILLBYTE
0x1d8459,42,0x7a
0x1d84c9,48,0x8c
0x1d8654,50,0x86
0x1d86e6,99,0x7b
0x1d8885,47,0x7b
0x1d88e0,45,0x80
0x1d8924,35,0x82
0x1da955,34,0x81
0x1daad2,44,0x80
0x1dfce0,800,0x00
0x1e6785,6267,0x00
0x1eba60,32,0x80
0x1ebacc,1332,0xff
0x1ed0fb,3845,0xff
0x1ef3a9,90,0x00
0x1ef69b,2405,0xff
0x1f63aa,3158,0xff
0x1f7afd,1283,0xff
0x1fee78,59,0x15
0x1fffcb,53,0xff
