; LZ-Toshio candidate offsets auto-detected in the ROM.
; Format: 0xOFFSET,encSize,decSize -- edit/delete lines as needed before extraction.
; Lines starting with ';' are ignored.
0x49857,11,3
0x50104,197,1024
0x501ca,155,1024
0x50266,162,1024
0x50308,144,1024
0x50398,176,1024
0x50448,161,1024
0x504ea,152,1024
0x50582,151,1024
0x5061a,185,1024
0x506d4,186,1024
0x5078e,181,1024
0x50844,176,1024
0x508f4,150,1024
0x5098a,172,1024
0x50a36,171,1024
0x50ae2,166,1024
0x50b88,350,1024
0x50ce6,199,1024
0x50dae,225,1024
0x50e90,269,1024
0x50f9e,188,1024
0x5105a,152,1024
0x510f2,180,1024
0x511a6,150,1024
0x5123c,181,1024
0x512f2,185,1024
0x513ac,186,1024
0x51466,157,1024
0x51504,150,1024
0x5159a,172,1024
0x51646,166,1024
0x516ec,189,1024
0x517aa,191,1024
0x5186a,185,1024
0x51924,186,1024
0x519de,146,1024
0x51a70,329,1024
0x51bba,274,1024
0x51ccc,192,1024
0x51d8c,212,1024
0x51e60,381,1024
0x51fde,204,1024
0x520aa,174,1024
0x52158,161,1024
0x521fa,150,1024
0x52290,180,1024
0x52344,401,1024
0x524d6,291,1024
0x525fa,150,1024
0x52690,158,1024
0x5272e,234,1024
0x52818,176,1024
0x528c8,267,1024
0x529d4,185,1024
0x52a8e,206,1024
0x52b5c,190,1024
0x52c1a,172,1024
0x52cc6,156,1024
0x52d62,181,1024
0x52e18,475,1024
0x52ff4,160,1024
0x53094,342,1024
0x531ea,184,1024
0x54da8,11,3
0x593e8,1230,2048
0x598b6,215,1536
0x5998e,737,1024
0x59c70,347,384
0x59dcc,1235,3072
0x5a2a0,386,512
0x5a422,3256,4608
0x5b0da,2099,3072
0x5b90e,4273,7168
0x5c9c0,702,1152
0x5cc7e,113,128
0x5e1bc,407,1440
0x5e354,531,1440
0x5e568,1663,3456
0x5ebe8,1116,4672
0x5f044,334,768
0x5f192,374,1536
0x5f308,335,512
0x5f458,260,1536
0x5f55c,248,384
0x5f654,91,512
0x5f6b0,87,128
0x5f708,714,4608
0x5f9d2,385,1024
0x5fb54,379,896
0x5fcd0,2657,5120
0x60732,1043,2304
0x60b46,613,768
0x60dac,346,576
0x60f06,896,1152
0x61286,3742,8192
0x62124,1557,2304
0x6273a,2610,6144
0x6316c,731,1152
0x63448,680,864
0x636f0,574,1536
0x6392e,1778,3456
0x64020,348,384
0x6417c,817,1536
0x644ae,3746,7040
0x65350,1548,3456
0x6595c,780,1152
0x65c68,898,1728
0x65fea,847,1152
0x6633a,814,1152
0x66668,553,1152
0x66892,207,512
0x66962,965,2304
0x66d28,293,512
0x66e4e,3646,10368
0x67c8c,188,288
0x67d48,385,1536
0x67eca,142,384
0x67f58,5729,9216
0x695ba,627,896
0x6982e,1618,4320
0x69e80,762,1536
0x6a17a,637,1152
0x6a3f8,864,1440
0x6a758,685,864
0x6aa06,128,128
0x6aa86,338,384
0x6abd8,71,96
0x6ac20,751,1152
0x6af10,181,256
0x6afc6,546,864
0x6b1e8,1258,1728
0x6b6d2,788,1024
0x6b9e6,84,128
0x6ba3a,1016,2016
0x6be32,258,512
0x6bf34,1670,6144
0x6c5ba,1343,5184
0x6cafa,60,128
0x6cb36,804,1536
0x6ce5a,156,256
0x6cef6,69,64
0x6cf3c,1012,1728
0x6d330,849,1440
0x6d682,130,128
0x6d704,231,288
0x6d7ec,1081,2560
0x6dc26,710,1152
0x6fd1b,18,15
0x726e9,12,3
0x72a77,12,3
0x735d3,12,3
0x73e01,12,3
0x74891,12,3
0x76147,12,3
0x7965d,11,3
0x7e731,11,3
0x7e8cf,11,3
0x7ea25,11,3
0x818ae,314,2592
0x819e8,381,1024
0x81b66,796,2304
0x81e82,1914,3072
0x825fc,587,3072
0x82848,6324,17280
0x840fc,178,288
0x841ae,121,128
0x84228,1612,2688
0x84874,1090,2304
0x84cb6,353,576
0x84e18,693,864
0x850ce,504,768
0x852c6,1481,3456
0x85890,841,1152
0x85bda,1284,2592
0x860de,1475,2592
0x866a2,257,256
0x867a4,787,1536
0x86ab8,646,1152
0x86d3e,632,1024
0x86fb6,526,768
0x871c4,1553,2304
0x877d6,1516,3456
0x87dc2,1978,3968
0x8857c,1289,3456
0x88a86,420,512
0x88c2a,294,576
0x88d50,430,1152
0x88efe,371,1024
0x89072,1509,4608
0x89658,284,512
0x89774,492,864
0x89960,866,1536
0x89cc2,198,256
0x89d88,434,576
0x89f3a,717,1536
0x8a208,316,384
0x8a344,286,384
0x8a462,1445,2688
0x8aa08,160,512
0x8aaa8,1463,2880
0x8b060,1592,2880
0x8b698,1509,2880
0x8bc7e,2098,2880
0x8c4b0,1523,2880
0x8caa4,887,2304
0x8fb1c,1133,2880
0x8ff8a,1773,2880
0x90678,1546,2880
0x90c82,1506,2880
0x91264,1686,2880
0x918fa,1419,2880
0x91e86,157,288
0x91f24,239,288
0x92014,255,288
0x92114,1216,2304
0x925d4,1447,2304
0x92b7c,197,384
0x92c42,1053,2304
0x93060,654,1152
0x932ee,2264,3840
0x93bc6,883,1152
0x93f3a,1035,1152
0x94346,369,384
0x944b8,884,1152
0x9482c,820,1152
0x94b60,552,1152
0x94d88,599,864
0x94fe0,289,384
0x95102,816,1152
0x95432,706,1152
0x956f4,414,576
0x95892,615,864
0x95afa,696,1152
0x95db2,254,576
0x95eb0,820,1536
0x961e4,1011,3168
0x965d8,730,1536
0x968b2,312,384
0x969ea,1587,3456
0x9701e,1330,1920
0x97550,448,768
0x97710,607,1152
0x97970,701,1152
0x97c2e,521,1152
0x97e38,1262,2304
0x98326,543,864
0x98546,668,1728
0x987e2,33,32
0x98804,444,864
0x989c0,1068,2304
0x98dec,483,864
