room,npc,str,ptrFieldAddr,textAddr
0,0,0,0x1c0308,0x1c030a
0,1,0,0x1c032c,0x1c032e
0,2,0,0x1c0344,0x1c0346
0,3,0,0x1c0348,0x1c0372
0,3,1,0x1c034a,0x1c037a
0,3,2,0x1c034c,0x1c0382
0,3,3,0x1c034e,0x1c038c
0,3,4,0x1c0350,0x1c039a
0,3,5,0x1c0352,0x1c03aa
0,3,6,0x1c0354,0x1c03b8
0,3,7,0x1c0356,0x1c03c2
0,3,8,0x1c0358,0x1c03ce
0,3,9,0x1c035a,0x1c03d4
0,3,10,0x1c035c,0x1c03e4
0,3,11,0x1c035e,0x1c03ea
0,3,12,0x1c0360,0x1c03f8
0,3,13,0x1c0362,0x1c040a
0,3,14,0x1c0364,0x1c041c
0,3,15,0x1c0366,0x1c0424
0,3,16,0x1c0368,0x1c0434
0,3,17,0x1c036a,0x1c0444
0,3,18,0x1c036c,0x1c0452
0,3,19,0x1c036e,0x1c045c
0,3,20,0x1c0370,0x1c0468
1,0,0,0x1c0478,0x1c04a4
1,0,1,0x1c047a,0x1c04d4
1,0,2,0x1c047c,0x1c04f2
1,0,3,0x1c047e,0x1c0510
1,0,4,0x1c0480,0x1c051c
1,0,5,0x1c0482,0x1c0528
1,0,6,0x1c0484,0x1c055c
1,0,7,0x1c0486,0x1c0588
1,0,8,0x1c0488,0x1c05bc
1,0,9,0x1c048a,0x1c0600
1,0,10,0x1c048c,0x1c0646
1,0,11,0x1c048e,0x1c0688
1,0,12,0x1c0490,0x1c06d6
1,0,13,0x1c0492,0x1c0726
1,0,14,0x1c0494,0x1c076e
1,0,15,0x1c0496,0x1c07b4
1,0,16,0x1c0498,0x1c07e6
1,0,17,0x1c049a,0x1c083c
1,0,18,0x1c049c,0x1c0890
1,0,19,0x1c049e,0x1c08ce
1,0,20,0x1c04a0,0x1c091e
1,0,21,0x1c04a2,0x1c0962
2,0,0,0x1c09b4,0x1c09d4
2,0,1,0x1c09b6,0x1c0a4a
2,0,2,0x1c09b8,0x1c0a8e
2,0,3,0x1c09ba,0x1c0b7c
2,0,4,0x1c09bc,0x1c0bb6
2,0,5,0x1c09be,0x1c0c18
2,0,6,0x1c09c0,0x1c0c54
2,0,7,0x1c09c2,0x1c0c94
2,0,8,0x1c09c4,0x1c0cf0
2,0,9,0x1c09c6,0x1c0cf6
2,0,10,0x1c09c8,0x1c0d36
2,0,11,0x1c09ca,0x1c0daa
2,0,12,0x1c09cc,0x1c0dfe
2,0,13,0x1c09ce,0x1c0ea4
2,0,14,0x1c09d0,0x1c0ee8
2,0,15,0x1c09d2,0x1c0f56
2,1,0,0x1c0fac,0x1c0fb0
2,1,1,0x1c0fae,0x1c1006
2,2,0,0x1c1064,0x1c106a
2,2,1,0x1c1066,0x1c10a0
2,2,2,0x1c1068,0x1c10e8
2,3,0,0x1c117e,0x1c1184
2,3,1,0x1c1180,0x1c11d8
2,3,2,0x1c1182,0x1c120c
2,4,0,0x1c1266,0x1c126c
2,4,1,0x1c1268,0x1c12ac
2,4,2,0x1c126a,0x1c12f0
3,0,0,0x1c1348,0x1c135a
3,0,1,0x1c134a,0x1c13a4
3,0,2,0x1c134c,0x1c1436
3,0,3,0x1c134e,0x1c1496
3,0,4,0x1c1350,0x1c14f2
3,0,5,0x1c1352,0x1c152a
3,0,6,0x1c1354,0x1c1574
3,0,7,0x1c1356,0x1c15d0
3,0,8,0x1c1358,0x1c1608
3,1,0,0x1c16d8,0x1c16e6
3,1,1,0x1c16da,0x1c1746
3,1,2,0x1c16dc,0x1c17c2
3,1,3,0x1c16de,0x1c1804
3,1,4,0x1c16e0,0x1c188e
3,1,5,0x1c16e2,0x1c1934
3,1,6,0x1c16e4,0x1c1976
3,2,0,0x1c19a2,0x1c19a6
3,2,1,0x1c19a4,0x1c19f8
3,3,0,0x1c1a50,0x1c1a66
3,3,1,0x1c1a52,0x1c1ad8
3,3,2,0x1c1a54,0x1c1b02
3,3,3,0x1c1a56,0x1c1c32
3,3,4,0x1c1a58,0x1c1c38
3,3,5,0x1c1a5a,0x1c1c76
3,3,6,0x1c1a5c,0x1c1ca0
3,3,7,0x1c1a5e,0x1c1dd0
3,3,8,0x1c1a60,0x1c1e3e
3,3,9,0x1c1a62,0x1c1e98
3,3,10,0x1c1a64,0x1c1ee8
3,4,0,0x1c1f94,0x1c1f9c
3,4,1,0x1c1f96,0x1c2090
3,4,2,0x1c1f98,0x1c2096
3,4,3,0x1c1f9a,0x1c212e
3,5,0,0x1c21de,0x1c21e0
3,6,0,0x1c2226,0x1c222a
3,6,1,0x1c2228,0x1c2272
3,7,0,0x1c22b0,0x1c22b4
3,7,1,0x1c22b2,0x1c22e4
3,8,0,0x1c232a,0x1c232e
3,8,1,0x1c232c,0x1c2374
4,0,0,0x1c23c6,0x1c23da
4,0,1,0x1c23c8,0x1c2426
4,0,2,0x1c23ca,0x1c246a
4,0,3,0x1c23cc,0x1c2594
4,0,4,0x1c23ce,0x1c25e8
4,0,5,0x1c23d0,0x1c25ee
4,0,6,0x1c23d2,0x1c262a
4,0,7,0x1c23d4,0x1c271c
4,0,8,0x1c23d6,0x1c2738
4,0,9,0x1c23d8,0x1c2790
4,1,0,0x1c27d4,0x1c27d8
4,1,1,0x1c27d6,0x1c2816
4,2,0,0x1c282c,0x1c283c
4,2,1,0x1c282e,0x1c28a0
4,2,2,0x1c2830,0x1c28f6
4,2,3,0x1c2832,0x1c28fc
4,2,4,0x1c2834,0x1c296c
4,2,5,0x1c2836,0x1c2a04
4,2,6,0x1c2838,0x1c2a62
4,2,7,0x1c283a,0x1c2aaa
4,3,0,0x1c2b08,0x1c2b12
4,3,1,0x1c2b0a,0x1c2b64
4,3,2,0x1c2b0c,0x1c2b6a
4,3,3,0x1c2b0e,0x1c2bca
4,3,4,0x1c2b10,0x1c2c0e
4,4,0,0x1c2c5a,0x1c2c64
4,4,1,0x1c2c5c,0x1c2d16
4,4,2,0x1c2c5e,0x1c2d1c
4,4,3,0x1c2c60,0x1c2dca
4,4,4,0x1c2c62,0x1c2e6e
5,0,0,0x1c2ea6,0x1c2ee6
5,0,1,0x1c2ea8,0x1c2ee8
5,0,2,0x1c2eaa,0x1c2eea
5,0,3,0x1c2eac,0x1c2eec
5,0,4,0x1c2eae,0x1c2eee
5,0,5,0x1c2eb0,0x1c2f06
5,0,6,0x1c2eb2,0x1c2f4e
5,0,7,0x1c2eb4,0x1c2f82
5,0,8,0x1c2eb6,0x1c2fce
5,0,9,0x1c2eb8,0x1c2ffe
5,0,10,0x1c2eba,0x1c3000
5,0,11,0x1c2ebc,0x1c302e
5,0,12,0x1c2ebe,0x1c3030
5,0,13,0x1c2ec0,0x1c306e
5,0,14,0x1c2ec2,0x1c30b4
5,0,15,0x1c2ec4,0x1c30f4
5,0,16,0x1c2ec6,0x1c314a
5,0,17,0x1c2ec8,0x1c31aa
5,0,18,0x1c2eca,0x1c31f8
5,0,19,0x1c2ecc,0x1c3238
5,0,20,0x1c2ece,0x1c326a
5,0,21,0x1c2ed0,0x1c329c
5,0,22,0x1c2ed2,0x1c329e
5,0,23,0x1c2ed4,0x1c32a0
5,0,24,0x1c2ed6,0x1c32a2
5,0,25,0x1c2ed8,0x1c330c
5,0,26,0x1c2eda,0x1c330e
5,0,27,0x1c2edc,0x1c3310
5,0,28,0x1c2ede,0x1c3312
5,0,29,0x1c2ee0,0x1c3314
5,0,30,0x1c2ee2,0x1c3316
5,0,31,0x1c2ee4,0x1c336a
6,0,0,0x1c33d0,0x1c33d8
6,0,1,0x1c33d2,0x1c33ee
6,0,2,0x1c33d4,0x1c3422
6,0,3,0x1c33d6,0x1c34ce
6,1,0,0x1c3520,0x1c3526
6,1,1,0x1c3522,0x1c353c
6,1,2,0x1c3524,0x1c357a
6,2,0,0x1c35da,0x1c35e0
6,2,1,0x1c35dc,0x1c35f6
6,2,2,0x1c35de,0x1c3648
6,3,0,0x1c36b4,0x1c36ba
6,3,1,0x1c36b6,0x1c36e0
6,3,2,0x1c36b8,0x1c3776
6,4,0,0x1c380a,0x1c3810
6,4,1,0x1c380c,0x1c3828
6,4,2,0x1c380e,0x1c385c
7,0,0,0x1c38fe,0x1c3904
7,0,1,0x1c3900,0x1c3948
7,0,2,0x1c3902,0x1c39d4
7,1,0,0x1c39da,0x1c39e0
7,1,1,0x1c39dc,0x1c3a2c
7,1,2,0x1c39de,0x1c3a7a
7,2,0,0x1c3a80,0x1c3a84
7,2,1,0x1c3a82,0x1c3ad8
7,3,0,0x1c3ade,0x1c3ae0
7,4,0,0x1c3b00,0x1c3b06
7,4,1,0x1c3b02,0x1c3b38
7,4,2,0x1c3b04,0x1c3bd8
7,5,0,0x1c3c2c,0x1c3c32
7,5,1,0x1c3c2e,0x1c3c50
7,5,2,0x1c3c30,0x1c3d34
8,0,0,0x1c3d84,0x1c3d8c
8,0,1,0x1c3d86,0x1c3dcc
8,0,2,0x1c3d88,0x1c3e0c
8,0,3,0x1c3d8a,0x1c3e12
8,1,0,0x1c3e46,0x1c3e4c
8,1,1,0x1c3e48,0x1c3e8a
8,1,2,0x1c3e4a,0x1c3ee2
8,2,0,0x1c3f2e,0x1c3f40
8,2,1,0x1c3f30,0x1c3f98
8,2,2,0x1c3f32,0x1c3fc4
8,2,3,0x1c3f34,0x1c40a4
8,2,4,0x1c3f36,0x1c4154
8,2,5,0x1c3f38,0x1c41b0
8,2,6,0x1c3f3a,0x1c41b6
8,2,7,0x1c3f3c,0x1c4218
8,2,8,0x1c3f3e,0x1c42ca
8,3,0,0x1c4310,0x1c4318
8,3,1,0x1c4312,0x1c4414
8,3,2,0x1c4314,0x1c4466
8,3,3,0x1c4316,0x1c446c
8,4,0,0x1c44be,0x1c44c0
9,0,0,0x1c44e4,0x1c44f8
9,0,1,0x1c44e6,0x1c459a
9,0,2,0x1c44e8,0x1c45c4
9,0,3,0x1c44ea,0x1c461e
9,0,4,0x1c44ec,0x1c46fa
9,0,5,0x1c44ee,0x1c4750
9,0,6,0x1c44f0,0x1c47f0
9,0,7,0x1c44f2,0x1c47f6
9,0,8,0x1c44f4,0x1c485c
9,0,9,0x1c44f6,0x1c48b6
10,0,0,0x1c490a,0x1c4916
10,0,1,0x1c490c,0x1c49b8
10,0,2,0x1c490e,0x1c4a16
10,0,3,0x1c4910,0x1c4a1c
10,0,4,0x1c4912,0x1c4abc
10,0,5,0x1c4914,0x1c4b58
10,1,0,0x1c4bc4,0x1c4bc6
11,0,0,0x1c4c0c,0x1c4c14
11,0,1,0x1c4c0e,0x1c4cbe
11,0,2,0x1c4c10,0x1c4d74
11,0,3,0x1c4c12,0x1c4d7a
11,1,0,0x1c4e42,0x1c4e44
12,0,0,0x1c4e96,0x1c4eac
12,0,1,0x1c4e98,0x1c4f58
12,0,2,0x1c4e9a,0x1c4fc8
12,0,3,0x1c4e9c,0x1c4fce
12,0,4,0x1c4e9e,0x1c500c
12,0,5,0x1c4ea0,0x1c505c
12,0,6,0x1c4ea2,0x1c50ac
12,0,7,0x1c4ea4,0x1c50fc
12,0,8,0x1c4ea6,0x1c514c
12,0,9,0x1c4ea8,0x1c5198
12,0,10,0x1c4eaa,0x1c51ce
12,1,0,0x1c5248,0x1c524a
13,0,0,0x1c52cc,0x1c52de
13,0,1,0x1c52ce,0x1c52fa
13,0,2,0x1c52d0,0x1c5326
13,0,3,0x1c52d2,0x1c53a4
13,0,4,0x1c52d4,0x1c53de
13,0,5,0x1c52d6,0x1c5400
13,0,6,0x1c52d8,0x1c544c
13,0,7,0x1c52da,0x1c546c
13,0,8,0x1c52dc,0x1c54b4
13,1,0,0x1c54f6,0x1c54fa
13,1,1,0x1c54f8,0x1c5540
14,0,0,0x1c55dc,0x1c55e2
14,0,1,0x1c55de,0x1c5618
